match_id,radiant_win,radiant_team,dire_team,avg_mmr,num_mmr,game_mode,lobby_type
6536978012,True,"46,50,135,94,35","123,14,44,23,7",,,22,7
6536978010,False,"105,26,20,54,104","93,16,2,84,13",170.0,1.0,22,7
6536978009,False,"2,112,41,17,86","20,94,35,99,84",620.0,1.0,22,7
6536978006,True,"27,59,35,81,21","100,26,14,109,104",1718.0,1.0,22,7
6536978005,False,"129,29,104,44,8","35,25,99,74,87",994.0,1.0,4,0
6536978000,True,"12,27,21,70,104","90,44,86,10,105",2568.0,2.0,4,0
6536977918,False,"35,44,6,100,58","34,30,67,105,94",2583.0,3.0,22,7
6536977917,True,"120,86,81,121,14","9,46,5,44,51",1852.0,2.0,4,0
6536977916,True,"2,93,63,27,36","14,6,98,112,41",4176.0,2.0,22,7
6536977906,True,"52,64,104,88,11","49,27,14,48,90",3009.0,1.0,22,7
6536977904,False,"106,14,39,54,102","91,42,137,100,74",4024.0,1.0,22,7
6536977903,False,"59,119,8,96,20","6,85,110,30,21",,,22,7
6536977815,True,"13,54,100,57,39","108,14,12,129,128",4087.0,5.0,22,7
6536977814,True,"9,16,30,99,12","81,121,13,21,32",1697.0,3.0,22,7
6536977801,True,"1,99,26,34,9","12,68,19,76,121",3751.0,1.0,22,7
6536977714,False,"19,21,38,8,14","41,28,27,84,106",,,22,7
6536977713,False,"19,126,114,49,26","123,129,94,27,14",,,22,7
6536977616,True,"10,30,25,129,62","107,83,114,71,35",3545.0,2.0,22,0
6536977615,False,"29,90,32,59,84","104,79,1,74,123",2292.0,3.0,22,7
6536977614,False,"101,74,85,67,84","94,99,14,121,36",1322.0,2.0,22,7
6536977610,False,"36,39,123,58,12","27,129,85,44,128",,,22,7
6536977609,True,"14,64,44,11,29","25,74,96,41,27",2964.0,1.0,22,7
6536977601,False,"27,75,33,25,16","3,44,90,47,8",1442.0,1.0,22,7
6536977518,False,"50,85,44,62,4","29,48,74,63,104",1594.0,1.0,22,7
6536977507,True,"36,5,8,26,28","35,27,19,13,71",3943.0,2.0,22,7
6536977505,True,"121,14,26,94,43","28,19,53,68,32",,,22,0
6536977504,False,"14,105,43,19,31","21,53,95,94,16",3027.0,1.0,22,7
6536977500,False,"100,60,72,42,39","109,73,21,47,22",3708.0,2.0,22,0
6536977413,False,"123,25,96,70,26","126,30,54,36,16",2529.0,3.0,22,7
6536977409,True,"104,6,71,65,85","26,46,39,123,49",3902.0,3.0,22,7
6536977408,True,"64,78,47,48,36","7,121,65,112,72",4021.0,1.0,4,0
6536977401,False,"19,80,25,77,2","84,72,76,41,63",3346.0,4.0,3,7
6536977400,False,"26,20,136,13,8","76,19,105,5,123",3729.0,1.0,22,7
6536977316,False,"49,18,112,5,11","14,75,40,6,76",,,22,0
6536977314,True,"70,36,34,7,10","85,27,11,5,41",4288.0,2.0,4,0
6536977312,True,"126,85,114,95,87","123,86,129,6,108",3750.0,6.0,22,7
6536977214,True,"1,17,49,137,47","15,14,90,2,94",4207.0,5.0,22,7
6536977213,True,"128,47,27,99,6","19,85,11,97,114",,,22,7
6536977205,True,"86,22,41,16,34","46,8,49,55,83",3779.0,1.0,22,7
6536977203,True,"91,129,6,44,90","5,105,74,31,93",,,22,7
6536977202,False,"71,49,26,123,81","6,99,75,14,10",2118.0,1.0,22,7
6536977118,False,"34,68,63,64,70","19,14,46,74,23",2315.0,1.0,22,7
6536977111,False,"50,45,28,93,40","121,36,35,21,112",3603.0,4.0,22,7
6536977110,True,"51,100,8,70,65","56,53,52,37,18",3013.0,1.0,4,0
6536977105,False,"81,33,39,14,123","61,38,107,46,84",4286.0,2.0,22,7
6536977104,False,"35,14,84,76,70","49,46,11,27,121",2869.0,1.0,22,7
6536977103,False,"84,9,51,32,105","26,99,112,14,8",3253.0,2.0,22,7
6536977102,True,"106,86,68,6,36","35,63,30,8,16",2844.0,3.0,22,7
6536977013,False,"73,21,23,58,26","86,19,25,45,104",270.0,1.0,22,7
6536977011,False,"88,86,81,94,14","1,90,74,33,31",3478.0,2.0,22,7
6536977010,True,"90,114,58,34,12","35,100,31,23,93",,,22,7
6536977007,True,"64,28,58,35,12","83,48,26,25,137",2742.0,2.0,22,0
6536977006,False,"105,27,97,81,74","26,68,56,6,129",2729.0,4.0,22,7
6536977005,True,"68,39,10,38,114","14,23,63,47,26",3571.0,1.0,4,0
6536977004,True,"70,41,35,96,36","95,68,59,106,57",1654.0,1.0,22,7
6536977003,False,"46,64,27,12,14","22,21,83,114,107",3405.0,1.0,22,7
6536977002,False,"70,4,54,119,51","109,46,18,120,69",444.0,1.0,4,0
6536976918,True,"27,26,94,102,95","108,8,60,112,84",,,22,7
6536976917,True,"87,11,19,97,121","91,54,47,45,29",4862.0,2.0,22,7
6536976914,True,"74,60,53,27,1","17,5,30,55,109",,,22,7
6536976910,False,"9,128,136,123,6","129,114,39,14,45",4771.0,4.0,22,7
6536976909,False,"68,136,8,19,54","88,73,63,50,36",2931.0,2.0,22,7
6536976908,True,"71,14,56,50,47","87,108,46,25,62",4641.0,4.0,3,7
6536976907,False,"11,62,123,2,44","9,97,14,35,41",2487.0,1.0,22,7
6536976904,True,"39,5,123,104,1","16,23,94,85,86",3440.0,3.0,22,7
6536976815,True,"7,17,91,29,19","13,84,70,27,137",3464.0,2.0,22,7
